Athlete,Gold,Silver,Bronze
"ABAKUMOVA, Maria",0,1,0
"ABEYLEGESSE, Elvan",0,2,0
"ALEKNA, Virgilijus",0,0,1
"ALEXEEV, Denis",0,0,1
"ANTONOVA, Olena",0,0,1
"ASAHARA, Nobuharu",0,0,1
"BAALA, Mehdi",0,0,1
"BAIN, Andretti",0,1,0
"BARRIOS, Yarelys",0,1,0
"BEKELE, Kenenisa",2,0,0
"BENHASSI, Hasna",0,0,1
"BLEDMAN, Keston",0,1,0
"BOLT, Usain",3,0,0
"BORCHIN, Valeriy",1,0,0
"BORLEE, Olivia",0,1,0
"BROWN TRAFTON, Stephanie",1,0,0
"BROWN, Christopher",0,1,0
"BUNGEI, Wilfred",1,0,0
"BURNS, Marc",0,1,0
"BUSIENEI, Janeth Jepkosgei",0,1,0
"CALLENDER, Emmanuel",0,1,0
"CAMEJO, Ibrahim",0,0,1
"CAMPBELL-BROWN, Veronica",1,0,0
"CANTWELL, Christian",0,1,0
"CARTER, Nesta",1,0,0
"CHERMOSHANSKAYA, Yuliya",1,0,0
"CHERNOVA, Tatiana",0,0,1
"CHICHEROVA, Anna",0,0,1
"CLAY, Bryan",1,0,0
"CLEMENT, Kerron",0,1,0
"CRAWFORD, Shawn",0,1,0
"DANVERS, Tasha",0,0,1
"DEFAR, Meseret",0,0,1
"DEVETZI, Hrysopiyi",0,0,1
"DEVYATOVSKIY, Vadim",0,1,0
"DIBABA, Tirunesh",2,0,0
"DIX, Walter",0,0,2
"DOBRYNSKA, Nataliia",1,0,0
"DYLDIN, Maksim",0,0,1
"EVORA, Nelson",1,0,0
"FEDORIVA, Aleksandra",1,0,0
"FELIX, Allyson",1,1,0
"FEOFANOVA, Svetlana",0,0,1
"FIROVA, Tatiana",0,1,0
"FLANAGAN, Shalane",0,0,1
"FOUNTAIN, Hyleas",0,1,0
"FRASER, Shelly-ann",1,0,0
"FRATER, Michael",1,0,0
"FROLOV, Vladislav",0,0,1
"GALKINA-SAMITOVA, Gulnara",1,0,0
"GEVAERT, Kim",0,1,0
"GHARIB, Jaouad",0,1,0
"GUSHCHINA, Yulia",1,1,0
"HARPER, Dawn",1,0,0
"HELLEBAUT, Tia",1,0,0
"HENDERSON, Monique",1,0,0
"HOOKER, Steve",1,0,0
"IDOKO, Franca",0,0,1
"IDOWU, Phillips",0,1,0
"ISINBAEVA, Elena",1,0,0
"ISMAIL, Ismail Ahmed",0,1,0
"ISMAILA, Halimat",0,0,1
"JACKSON, Bershawn",0,0,1
"JELIMO, Pamela",1,0,0
"JEPKORIR, Eunice",0,1,0
"KANISKINA, Olga",1,0,0
"KANTER, Gerd",1,0,0
"KAPACHINSKAYA, Anastasia",0,1,0
"KEBEDE, Tsegay",0,0,1
"KEMASUODE, Gloria",0,0,1
"KIPCHOGE, Eliud",0,1,0
"KIPROP, Asbel Kipruto",1,0,0
"KIPRUTO, Brimin Kiprop",1,0,0
"KOGO, Micah",0,0,1
"KOKORIN, Anton",0,0,1
"KOVALS, Ainars",0,1,0
"KOZMUS, Primoz",1,0,0
"KRAUCHANKA, Andrei",0,1,0
"LANGAT, Nancy jebet",1,0,0
"LEBEDEVA, Tatyana",0,2,0
"LISHCHYNSKA, Iryna",0,1,0
"LITVINOVA, Liudmila",0,1,0
"LLOYD, Shereefa",0,0,1
"LOPES-SCHLIEP, Priscilla",0,0,1
"LUKYANENKO, Evgeny",0,1,0
"MAGGI, Maurren Higa",1,0,0
"MAJEWSKI, Tomasz",1,0,0
"MALACHOWSKI, Piotr",0,1,0
"MARIEN, Hanna",0,1,0
"MASON, Germaine",0,1,0
"MATEELONG, Richard Kipkemboi",0,0,1
"MATHIEU, Michael",0,1,0
"MBANGO ETONE, Francoise",1,0,0
"MCLELLAN, Sally",0,1,0
"MEKHISSI-B., Mahiedine",0,1,0
"MERRITT, LaShawn",2,0,0
"MIANKOVA, Aksana",1,0,0
"MIKHNEVICH, Andrei",0,0,1
"MIKHNEVICH, Natallia",0,1,0
"MOKOENA, Khotso",0,1,0
"MORENO, Yipsi",0,1,0
"NDEREBA, Catherine",0,1,0
"NEVILLE, David",1,0,1
"NIZHEGORODOV, Denis",0,0,1
"OBERGFOLL, Christina",0,0,1
"OHURUOGU, Christine",1,0,0
"OKAGBARE, Blessing",0,0,1
"OLIVER, David",0,0,1
"OSAYOMI, Oludamola",0,0,1
"OSTAPCHUK, Nadzeya",0,0,1
"OUEDRAOGO, Elodie",0,1,0
"PAYNE, David",0,1,0
"PEREZ, Jefferson",0,1,0
"PITKAMAKI, Tero",0,0,1
"PLATZER, Kjersti Tysse",0,1,0
"POLYAKOVA, Evgeniya",1,0,0
"POWELL, Asafa",1,0,0
"RICHARDS, Sanya",1,0,1
"RIGAUDO, Elisa",0,0,1
"ROBLES, Dayron",1,0,0
"RYBAKOV, Yaroslav",0,0,1
"SALADINO ARANDA, Irving Jahir",1,0,0
"SANDS, Leevan",0,0,1
"SCHWAZER, Alex",1,0,0
"SIHINE, Sileshi",0,1,0
"SILNOV, Andrey",1,0,0
"SIMPSON, Sherone",0,1,0
"SOI, Edwin Cheruiyot",0,0,1
"SPOTAKOVA, Barbora",1,0,0
"STEWART, Kerron",0,1,1
"STUCZYNSKI, Jennifer",0,1,0
"SUAREZ, Leonel",0,0,1
"SUETSUGU, Shingo",0,0,1
"TAKAHIRA, Shinji",0,0,1
"TALLENT, Jared",0,1,1
"TAYLOR, Angelo",2,0,0
"THOMPSON, Richard",0,2,0
"THORKILDSEN, Andreas",1,0,0
"TOBIAS, Nataliya",0,0,1
"TOMESCU, Constantina",1,0,0
"TOSTA, Sheena",0,1,0
"TSIKHAN, Ivan",0,0,1
"TSUKAHARA, Naoki",0,0,1
"VILI, Valerie",1,0,0
"VLASIC, Blanka",0,1,0
"VOLKOVA, Ekaterina",0,0,1
"WALKER, Melaine",1,0,0
"WANSIRU, Samuel Kamau",1,0,0
"WARINER, Jeremy",1,1,0
"WHYTE, Rosemarie",0,0,1
"WILLIAMS, Andrae",0,1,0
"WILLIAMS, Novelene",0,0,1
"WILLIAMS, Shericka",0,1,1
"WILLIS, Nicholas",0,1,0
"WINEBERG, Mary",1,0,0
"YEGO, Alfred Kirwa",0,0,1
"YURCHENKO, Denys",0,0,1
"ZHANG, Wenxiu",0,0,1
"ZHOU, Chunxiu",0,0,1
