mpg,cyl,disp,hp,weight,acc,year,name
24.0,4,113.0,95.0,2372,15.0,70,toyota corona mark ii
27.0,4,97.0,88.0,2130,14.5,70,datsun pl510
27.0,4,97.0,88.0,2130,14.5,71,datsun pl510
25.0,4,113.0,95.0,2228,14.0,71,toyota corona
31.0,4,71.0,65.0,1773,19.0,71,toyota corolla 1200
35.0,4,72.0,69.0,1613,18.0,71,datsun 1200
24.0,4,113.0,95.0,2278,15.5,72,toyota corona hardtop
19.0,3,70.0,97.0,2330,13.5,72,mazda rx2 coupe
28.0,4,97.0,92.0,2288,17.0,72,datsun 510 (sw)
23.0,4,120.0,97.0,2506,14.5,72,toyota corona mark ii (sw)
27.0,4,97.0,88.0,2100,16.5,72,toyota corolla 1600 (sw)
20.0,4,97.0,88.0,2279,19.0,73,toyota carina
22.0,4,108.0,94.0,2379,16.5,73,datsun 610
18.0,3,70.0,90.0,2124,13.5,73,mazda rx3
20.0,6,156.0,122.0,2807,13.5,73,toyota mark ii
31.0,4,79.0,67.0,1950,19.0,74,datsun b210
32.0,4,71.0,65.0,1836,21.0,74,toyota corolla 1200
31.0,4,76.0,52.0,1649,16.5,74,toyota corona
32.0,4,83.0,61.0,2003,19.0,74,datsun 710
24.0,4,120.0,97.0,2489,15.0,74,honda civic
26.0,4,108.0,93.0,2391,15.5,74,subaru
29.0,4,97.0,75.0,2171,16.0,75,toyota corolla
24.0,4,134.0,96.0,2702,13.5,75,toyota corona
24.0,4,119.0,97.0,2545,17.0,75,datsun 710
33.0,4,91.0,53.0,1795,17.5,75,honda civic cvcc
33.0,4,91.0,53.0,1795,17.4,76,honda civic
32.0,4,85.0,70.0,1990,17.0,76,datsun b-210
28.0,4,97.0,75.0,2155,16.4,76,toyota corolla
19.0,6,156.0,108.0,2930,15.5,76,toyota mark ii
31.5,4,98.0,68.0,2045,18.5,77,honda accord cvcc
33.5,4,85.0,70.0,1945,16.8,77,datsun f-10 hatchback
26.0,4,97.0,75.0,2265,18.2,77,toyota corolla liftback
30.0,4,97.0,67.0,1985,16.4,77,subaru dl
22.0,6,146.0,97.0,2815,14.5,77,datsun 810
21.5,3,80.0,110.0,2720,13.5,77,mazda rx-4
32.8,4,78.0,52.0,1985,19.4,78,mazda glc deluxe
39.4,4,85.0,70.0,2070,18.6,78,datsun b210 gx
36.1,4,91.0,60.0,1800,16.4,78,honda civic cvcc
27.5,4,134.0,95.0,2560,14.2,78,toyota corona
27.2,4,119.0,97.0,2300,14.7,78,datsun 510
21.1,4,134.0,95.0,2515,14.8,78,toyota celica gt liftback
23.9,4,119.0,97.0,2405,14.9,78,datsun 200-sx
29.5,4,98.0,68.0,2135,16.6,78,honda accord lx
34.1,4,86.0,65.0,1975,15.2,79,mazda glc deluxe
31.8,4,85.0,65.0,2020,19.2,79,datsun 210
38.1,4,89.0,60.0,1968,18.8,80,toyota corolla tercel
37.2,4,86.0,65.0,2019,16.4,80,datsun 310
29.8,4,134.0,90.0,2711,15.5,80,toyota corona liftback
31.3,4,120.0,75.0,2542,17.5,80,mazda 626
37.0,4,119.0,92.0,2434,15.0,80,datsun 510 hatchback
32.2,4,108.0,75.0,2265,15.2,80,toyota corolla
46.6,4,86.0,65.0,2110,17.9,80,mazda glc
40.8,4,85.0,65.0,2110,19.2,80,datsun 210
44.6,4,91.0,67.0,1850,13.8,80,honda civic 1500 gl
33.8,4,97.0,67.0,2145,18.0,80,subaru dl
32.7,6,168.0,132.0,2910,11.4,80,datsun 280-zx
23.7,3,70.0,100.0,2420,12.5,80,mazda rx-7 gs
32.4,4,107.0,72.0,2290,17.0,80,honda accord
39.1,4,79.0,58.0,1755,16.9,81,toyota starlet
35.1,4,81.0,60.0,1760,16.1,81,honda civic 1300
32.3,4,97.0,67.0,2065,17.8,81,subaru
37.0,4,85.0,65.0,1975,19.4,81,datsun 210 mpg
37.7,4,89.0,62.0,2050,17.3,81,toyota tercel
34.1,4,91.0,68.0,1985,16.0,81,mazda glc 4
33.7,4,107.0,75.0,2210,14.4,81,honda prelude
32.4,4,108.0,75.0,2350,16.8,81,toyota corolla
32.9,4,119.0,100.0,2615,14.8,81,datsun 200sx
31.6,4,120.0,74.0,2635,18.3,81,mazda 626
25.4,6,168.0,116.0,2900,12.6,81,toyota cressida
24.2,6,146.0,120.0,2930,13.8,81,datsun 810 maxima
37.0,4,91.0,68.0,2025,18.2,82,mazda glc custom l
31.0,4,91.0,68.0,1970,17.6,82,mazda glc custom
36.0,4,120.0,88.0,2160,14.5,82,nissan stanza xe
36.0,4,107.0,75.0,2205,14.5,82,honda accord
34.0,4,108.0,70.0,2245,16.9,82,toyota corolla
38.0,4,91.0,67.0,1965,15.0,82,honda civic
32.0,4,91.0,67.0,1965,15.7,82,honda civic (auto)
38.0,4,91.0,67.0,1995,16.2,82,datsun 310 gx
32.0,4,144.0,96.0,2665,13.9,82,toyota celica gt
